year,cty,all_gov_exp,all_gov_rev
2000,Adams,1036153.8,1035952.0
2000,Alamosa,47896.6,44932.8
2000,Arapahoe,1710977.6,1556721.8
2000,Archuleta,28175.8,39661.6
2000,Baca,23069.8,23079.2
2000,Bent,27750.2,28440.6
2000,Boulder,880532.6,810949.4
2000,Broomfield,390479.4,62568.600000000006
2000,Chaffee,48943.8,50850.4
2000,Cheyenne,16382.0,16246.8
2000,Clear Creek,35851.6,29145.4
2000,Conejos,24261.0,26067.8
2000,Costilla,11556.0,11018.8
2000,Crowley,8090.6,8247.8
2000,Custer,10071.6,8391.6
2000,Delta,83935.4,82600.6
2000,Denver,2778827.2,3072076.0
2000,Dolores,8160.4,6891.2
2000,Douglas,560362.6,545264.0
2000,Eagle,189838.6,194386.6
2000,El Paso,1481970.6,1460814.0
2000,Elbert,38715.2,42019.2
2000,Fremont,78134.4,77196.0
2000,Garfield,156048.0,136266.8
2000,Gilpin,28955.8,42093.2
2000,Grand,59471.8,64463.8
2000,Gunnison,59345.6,52056.2
2000,Hinsdale,2962.8,3222.8
2000,Huerfano,23239.8,23644.4
2000,Jackson,6348.4,6284.0
2000,Jefferson,1312920.4,1236487.6
2000,Kiowa,12833.6,13859.2
2000,Kit Carson,30760.8,30995.6
2000,La Plata,118438.0,119052.2
2000,Lake,69843.4,71042.6
2000,Larimer,684672.0,786236.2
2000,Las Animas,48752.6,42899.4
2000,Lincoln,22435.0,24583.8
2000,Logan,65591.0,67603.2
2000,Mesa,288920.2,293074.8
2000,Mineral,4143.8,4510.2
2000,Moffat,72041.2,77317.4
2000,Montezuma,67469.2,71552.8
2000,Montrose,121871.2,125432.0
2000,Morgan,75519.4,76838.4
2000,Otero,63416.4,61500.8
2000,Ouray,12308.6,12525.6
2000,Park,36604.6,36037.2
2000,Phillips,18714.4,19640.4
2000,Pitkin,141347.0,154960.4
2000,Prowers,48698.8,52415.8
2000,Pueblo,334379.6,348083.6
2000,Rio Blanco,43908.4,44872.0
2000,Rio Grande,37230.0,37779.4
2000,Routt,80885.6,79061.4
2000,Saguache,17503.2,19520.4
2000,San Juan,3787.6,3747.6
2000,San Miguel,48409.4,47017.8
2000,Sedgwick,14493.2,13327.0
2000,Summit,119552.2,126708.6
2000,Teller,57813.0,62736.2
2000,Washington,17752.2,17689.8
2000,Weld,490765.8,482789.6
2000,Yuma,39673.2,42507.0
2001,Adams,1145115.4,1123266.0
2001,Alamosa,47850.8,46459.4
2001,Arapahoe,1816760.8,1661630.4
2001,Archuleta,29103.4,42946.8
