,ap,emp,est,fipscty,fipstate,ind_code,naics,qp1,s_NAICS,s_SIC,s_n02,s_n07,sic,year
82704,1310374,44011,706,31,8,4000,,317331,,40,48,48,40--,1986
82767,785680,32319,2023,31,8,5000,,201511,,50,42,42,50--,1986
82847,665435,56203,3644,31,8,5200,,163220,,52,44,44,52--,1986
82924,948454,35717,2525,31,8,6000,,253139,,60,52,52,60--,1986
82958,5712,205,16,31,8,6600,,1167,,,,,6600,1986
82970,2071874,112357,7268,31,8,7000,,532622,,70,81,81,70--,1986
83128,65217,2740,1149,31,8,9900,,8861,,90,92,92,99--,1986
83129,1695,134,30,33,8,0000,,353,,00,00,00,----,1986
83130,0,0,2,33,8,1000,,0,,10,21,21,10--,1986
83136,107,10,3,33,8,1500,,28,,15,23,23,15--,1986
83141,0,0,2,33,8,1900,,0,,20,33,33,19--,1986
83147,0,0,1,33,8,4000,,0,,40,48,48,40--,1986
83150,0,0,4,33,8,5000,,0,,50,42,42,50--,1986
83158,361,50,9,33,8,5200,,79,,52,44,44,52--,1986
83171,0,0,1,33,8,6000,,0,,60,52,52,60--,1986
83174,0,0,4,33,8,7000,,0,,70,81,81,70--,1986
83184,0,0,4,33,8,9900,,0,,90,92,92,99--,1986
83185,119705,6991,1004,35,8,0000,,26458,,00,00,00,----,1986
83186,5484,306,29,35,8,0700,,877,,07,11,11,07--,1986
83192,1553,65,6,35,8,1000,,451,,10,21,21,10--,1986
83201,38043,1734,216,35,8,1500,,7995,,15,23,23,15--,1986
83227,16489,772,44,35,8,1900,,3890,,20,33,33,19--,1986
83288,6425,271,33,35,8,4000,,1574,,40,48,48,40--,1986
83308,4112,236,55,35,8,5000,,938,,50,42,42,50--,1986
83350,17318,1534,163,35,8,5200,,4032,,52,44,44,52--,1986
83399,10337,533,84,35,8,6000,,2411,,60,52,52,60--,1986
83420,0,0,1,35,8,6600,,0,,,,,6600,1986
83424,16856,1358,275,35,8,7000,,3754,,70,81,81,70--,1986
83519,3087,182,99,35,8,9900,,536,,90,92,92,99--,1986
83520,138346,11719,1026,37,8,0000,,38990,,00,00,00,----,1986
83521,0,0,14,37,8,0700,,0,,07,11,11,07--,1986
83525,0,0,4,37,8,1000,,0,,10,21,21,10--,1986
83534,20919,724,165,37,8,1500,,3832,,15,23,23,15--,1986
83558,3674,202,26,37,8,1900,,885,,20,33,33,19--,1986
83588,4577,283,28,37,8,4000,,1204,,40,48,48,40--,1986
83606,1468,112,20,37,8,5000,,372,,50,42,42,50--,1986
83629,34791,4054,320,37,8,5200,,10966,,52,44,44,52--,1986
83695,15986,1259,134,37,8,6000,,4408,,60,52,52,60--,1986
83718,53933,4907,231,37,8,7000,,16736,,70,81,81,70--,1986
83797,2207,153,84,37,8,9900,,446,,90,92,92,99--,1986
83798,7911,634,133,39,8,0000,,1919,,00,00,00,----,1986
83799,0,0,5,39,8,0700,,0,,07,11,11,07--,1986
83805,0,0,2,39,8,1000,,0,,10,21,21,10--,1986
83809,1412,83,26,39,8,1500,,261,,15,23,23,15--,1986
83829,631,41,6,39,8,1900,,114,,20,33,33,19--,1986
83846,275,21,6,39,8,4000,,77,,40,48,48,40--,1986
83853,735,102,15,39,8,5000,,180,,50,42,42,50--,1986
83872,735,86,17,39,8,5200,,156,,52,44,44,52--,1986
83891,1099,92,10,39,8,6000,,352,,60,52,52,60--,1986
83902,2225,158,31,39,8,7000,,588,,70,81,81,70--,1986
83949,290,27,15,39,8,9900,,60,,90,92,92,99--,1986
83950,2089184,119708,10030,41,8,0000,,495333,,00,00,00,----,1986
83951,6161,530,151,41,8,0700,,1164,,07,11,11,07--,1986
83960,19086,712,30,41,8,1000,,5576,,10,21,21,10--,1986
83981,179618,9632,1276,41,8,1500,,41706,,15,23,23,15--,1986
84010,535948,21648,406,41,8,1900,,125433,,20,33,33,19--,1986
84209,110619,4914,310,41,8,4000,,25755,,40,48,48,40--,1986
84249,93216,4559,477,41,8,5000,,21598,,50,42,42,50--,1986
84326,314259,28950,2379,41,8,5200,,74429,,52,44,44,52--,1986
84405,190539,9691,962,41,8,6000,,48044,,60,52,52,60--,1986
84438,0,0,6,41,8,6600,,0,,,,,6600,1986
84451,620753,37665,3282,41,8,7000,,148644,,70,81,81,70--,1986
84597,18985,1407,757,41,8,9900,,2985,,90,92,92,99--,1986
84598,82951,6315,685,43,8,0000,,19933,,00,00,00,----,1986
84599,0,0,9,43,8,0700,,0,,07,11,11,07--,1986
84604,5703,231,7,43,8,1000,,1534,,10,21,21,10--,1986
84618,5839,332,68,43,8,1500,,1056,,15,23,23,15--,1986
84640,22873,1132,44,43,8,1900,,5738,,20,33,33,19--,1986
84696,5535,304,30,43,8,4000,,1266,,40,48,48,40--,1986
84721,2131,160,29,43,8,5000,,690,,50,42,42,50--,1986
84747,13361,1397,182,43,8,5200,,2970,,52,44,44,52--,1986
84809,4404,277,42,43,8,6000,,1219,,60,52,52,60--,1986
84831,21809,2353,195,43,8,7000,,5204,,70,81,81,70--,1986
84918,0,0,79,43,8,9900,,0,,90,92,92,99--,1986
84919,135890,7832,1076,45,8,0000,,32102,,00,00,00,----,1986
84920,655,52,17,45,8,0700,,119,,07,11,11,07--,1986
84926,0,0,11,45,8,1000,,0,,10,21,21,10--,1986
84943,12414,580,144,45,8,1500,,2480,,15,23,23,15--,1986
84970,7828,354,29,45,8,1900,,1579,,20,33,33,19--,1986
85007,11144,439,35,45,8,4000,,2535,,40,48,48,40--,1986
85031,0,0,45,45,8,5000,,0,,50,42,42,50--,1986
85072,24852,2215,290,45,8,5200,,5725,,52,44,44,52--,1986
85139,7478,430,72,45,8,6000,,1989,,60,52,52,60--,1986
85163,32894,2330,324,45,8,7000,,7917,,70,81,81,70--,1986
85259,2454,162,109,45,8,9900,,483,,90,92,92,99--,1986
85260,1697,154,57,47,8,0000,,322,,00,00,00,----,1986
85261,0,0,2,47,8,1500,,0,,15,23,23,15--,1986
85266,0,0,1,47,8,1900,,0,,20,33,33,19--,1986
85270,0,0,1,47,8,5000,,0,,50,42,42,50--,1986
85274,795,62,20,47,8,5200,,132,,52,44,44,52--,1986
85293,750,81,20,47,8,7000,,168,,70,81,81,70--,1986
85320,70,6,13,47,8,9900,,6,,90,92,92,99--,1986
85321,38259,4099,477,49,8,0000,,11237,,00,00,00,----,1986
85322,0,0,6,49,8,0700,,0,,07,11,11,07--,1986
85328,0,0,1,49,8,1000,,0,,10,21,21,10--,1986
85332,2718,192,55,49,8,1500,,535,,15,23,23,15--,1986
85351,3253,177,17,49,8,1900,,885,,20,33,33,19--,1986
85377,2685,180,19,49,8,4000,,686,,40,48,48,40--,1986
85402,580,51,13,49,8,5000,,150,,50,42,42,50--,1986
85423,8067,1140,133,49,8,5200,,2295,,52,44,44,52--,1986
85462,4893,444,44,49,8,6000,,1265,,60,52,52,60--,1986
85474,0,0,1,49,8,6600,,0,,,,,6600,1986
85479,15037,1831,140,49,8,7000,,5246,,70,81,81,70--,1986
85541,802,72,49,49,8,9900,,133,,90,92,92,99--,1986
85542,46145,3732,481,51,8,0000,,13243,,00,00,00,----,1986
85543,0,0,6,51,8,0700,,0,,07,11,11,07--,1986
85547,13989,364,10,51,8,1000,,4196,,10,21,21,10--,1986
85559,3895,212,60,51,8,1500,,793,,15,23,23,15--,1986
85583,1383,129,20,51,8,1900,,394,,20,33,33,19--,1986
85609,2357,154,28,51,8,4000,,620,,40,48,48,40--,1986
85629,0,0,11,51,8,5000,,0,,50,42,42,50--,1986
85646,8275,1047,134,51,8,5200,,2334,,52,44,44,52--,1986
85694,4376,401,39,51,8,6000,,1270,,60,52,52,60--,1986
85710,0,0,1,51,8,6600,,0,,,,,6600,1986
85716,9927,1261,125,51,8,7000,,3220,,70,81,81,70--,1986
85781,1036,96,48,51,8,9900,,213,,90,92,92,99--,1986
85782,604,47,29,53,8,0000,,111,,00,00,00,----,1986
85783,0,0,2,53,8,1500,,0,,15,23,23,15--,1986
85786,0,0,1,53,8,1900,,0,,20,33,33,19--,1986
85789,196,16,10,53,8,5200,,29,,52,44,44,52--,1986
85804,216,12,3,53,8,6000,,51,,60,52,52,60--,1986
85812,121,15,9,53,8,7000,,23,,70,81,81,70--,1986
85829,28,1,4,53,8,9900,,2,,90,92,92,99--,1986
85830,6931,702,176,55,8,0000,,1809,,00,00,00,----,1986
85831,0,0,1,55,8,0700,,0,,07,11,11,07--,1986
85834,639,60,15,55,8,1500,,167,,15,23,23,15--,1986
85844,0,0,4,55,8,1900,,0,,20,33,33,19--,1986
85853,793,47,12,55,8,4000,,197,,40,48,48,40--,1986
85871,248,30,7,55,8,5000,,65,,50,42,42,50--,1986
85886,2516,278,58,55,8,5200,,565,,52,44,44,52--,1986
85916,525,52,12,55,8,6000,,126,,60,52,52,60--,1986
85930,1548,165,49,55,8,7000,,571,,70,81,81,70--,1986
85967,498,50,18,55,8,9900,,74,,90,92,92,99--,1986
85968,4665,263,42,57,8,0000,,1090,,00,00,00,----,1986
85969,0,0,1,57,8,1000,,0,,10,21,21,10--,1986
85973,88,8,5,57,8,1500,,33,,15,23,23,15--,1986
85982,2353,113,9,57,8,1900,,581,,20,33,33,19--,1986
85992,78,5,4,57,8,4000,,23,,40,48,48,40--,1986
85997,114,10,5,57,8,5000,,24,,50,42,42,50--,1986
86007,957,89,10,57,8,5200,,228,,52,44,44,52--,1986
86021,0,0,2,57,8,6000,,0,,60,52,52,60--,1986
86026,66,9,5,57,8,7000,,13,,70,81,81,70--,1986
86038,0,0,1,57,8,9900,,0,,90,92,92,99--,1986
86039,2689185,130875,10387,59,8,0000,,665808,,00,00,00,----,1986
86040,21832,1585,164,59,8,0700,,4209,,07,11,11,07--,1986
86045,72825,2110,147,59,8,1000,,20401,,10,21,21,10--,1986
86083,204436,9943,1244,59,8,1500,,46755,,15,23,23,15--,1986
86113,1140604,33374,449,59,8,1900,,292437,,20,33,33,19--,1986
86334,84592,3657,242,59,8,4000,,20669,,40,48,48,40--,1986
86374,100282,4419,616,59,8,5000,,24496,,50,42,42,50--,1986
86447,373491,34718,2400,59,8,5200,,89165,,52,44,44,52--,1986
86525,157240,7302,960,59,8,6000,,37095,,60,52,52,60--,1986
86556,0,0,9,59,8,6600,,0,,,,,6600,1986
86569,513633,32307,3452,59,8,7000,,126752,,70,81,81,70--,1986
86718,20249,1460,713,59,8,9900,,3830,,90,92,92,99--,1986
86719,1299,144,45,61,8,0000,,303,,00,00,00,----,1986
86720,0,0,4,61,8,0700,,0,,07,11,11,07--,1986
86724,0,0,1,61,8,1500,,0,,15,23,23,15--,1986
86727,0,0,2,61,8,1900,,0,,20,33,33,19--,1986
86733,0,0,1,61,8,4000,,0,,40,48,48,40--,1986
86737,385,27,9,61,8,5000,,88,,50,42,42,50--,1986
