FNAME,AUDIT_YEAR,dist_clust,pcap,pcrev,vac_rate,intensity_stock,prop_ratio,pcintgov,pop_growth,gsp,EXP_TOTAL,cty_exp_prop,SL_EXP_TOTAL,SL_pop_growth,SL_vac_rate,exp_intensity,dist_clust_bf,dist_clust_pca,pcap_q,dc_diff,dc_diff_bf,dc_diff_pca
San Miguel,1995,0.19059201666220843,10751.203543231271,2105.7659102729144,42.3,0.1912725028645469,0.567794767131072,729.9478041306363,0.025473933649289068,116821,9305913.602362204,0.2000300721853463,47534484.873140864,0.045864965110310935,12.155555555555555,1779965.3861650506,0.26123857840535347,0.22087236445688926,4,0.0722569834189733,-0.08732131199990353,-0.07058145414123315
San Miguel,1996,0.2628490000811817,10499.631811487481,2112.039041006203,41.2,0.15910681294956547,0.6397221116519268,687.8160490063838,0.04602349316387455,123144,14541680.936902486,0.2964097376648999,49526257.4113023,0.03887737751286017,13.12222222222222,2313680.5088000055,0.17391726640544994,0.1502909103156561,4,-0.08526033150252346,0.07727306821035743,0.05202180891023209
San Miguel,1997,0.17758866857865827,11225.974492545356,2043.445510845789,42.1,0.2102673648268032,0.6266746810463958,632.5915113930723,0.024852724594992548,157345,11608948.485981308,0.22435663920241755,54639545.6490135,0.04550505432760835,11.444444444444443,2440983.006557396,0.25119033461580736,0.2023127192258882,4,0.017576658928125294,0.01697840887640284,0.007745628479094768
San Miguel,1998,0.19516532750678356,13542.627883650957,2014.4511571524383,42.3,0.1688356828518367,0.6989811515089093,561.3373217812947,0.07454643434524888,166949,11511717.570552144,0.2085409008338936,56085799.85480572,0.04400950832082778,11.999999999999998,1943588.696821658,0.2681687434922102,0.21005834770498297,5,-0.011148835188490525,-0.019608623120160817,-0.0037678248953056104
San Miguel,1999,0.18401649231829303,14159.586873230051,2066.7211037338475,45.3,0.1485680459434317,0.7666462383630087,599.3810237738276,0.0035105315947843163,179848,12909542.160864346,0.22193498691858532,61349564.014605835,0.0392034797788145,11.977777777777776,1917945.4528639626,0.2485601203720494,0.20629052280967736,5,0.010304679074148254,0.002425034762315259,0.003983121338548806
San Miguel,2000,0.1943211713924413,14591.446769790718,1929.8265131747892,42.13,0.14521234101443534,0.8182803489067869,557.851373965774,0.09845077461269368,195300,13429503.693379793,0.22270815172259933,64681497.3073945,0.022651644844945217,12.297777777777778,1950129.6699776854,0.25098515513436465,0.21027364414822616,5,0.0029294149501528643,0.003357636790410845,-0.004392301746719063
San Miguel,2001,0.19725058634259415,15501.006325474411,1977.050443961869,41.23,0.3689343300355475,0.8939701466969736,690.8448847949312,0.054898392478010205,201831,14345188.322981367,0.2293557344859237,69172043.0331263,0.035100354306535686,12.254444444444443,5292432.44317289,0.2543427919247755,0.2058813424015071,5,0.07497657516597037,0.0734552768888222,0.03229442322535206
San Miguel,2002,0.2722271615085645,13698.9488437281,2110.7695441639503,41.62,0.3571417011599201,0.9876101022820896,593.6814499840876,0.025733179988499225,204515,14028763.816008896,0.21442745712671535,73984606.71762091,0.022227024144864153,13.275555555555554,5010256.574420149,0.3277980688135977,0.23817576562685916,5,-0.03203387799484356,-0.050624867115816874,-0.013846139198006369
San Miguel,2003,0.24019328351372096,13869.650076676426,2266.9517836360988,43.16,0.4289397771192581,0.9030049844433397,823.0938073936682,0.005325858444288789,205386,15590600.258152176,0.23605187447048856,74573568.03894927,0.019019947719174812,13.866666666666665,6687428.599887243,0.2771732016977808,0.2243296264288528,5,-0.005090013662904624,0.013329849646100678,0.008537121546514342
San Miguel,2004,0.23510326985081634,16229.29936305733,2066.22245325918,44.13,0.4663666065462915,0.8400441173819709,544.8749787243527,0.0068311724522514,209357,15061484.841185812,0.2269628685340771,73862495.12705135,0.013507353876957475,14.947777777777777,7024173.574932237,0.2905030513438815,0.23286674797536713,5,0.016509000189245143,-0.044854796701414956,-0.023945402376729985
San Miguel,2005,0.2516122700400615,17048.563611491107,2309.265901559424,45.06,0.7005575321583573,0.7749469443021403,722.4524334865229,0.01218499030739406,217329,17210371.804915514,0.26018435559392955,74548213.52961256,0.016354636379877097,15.36222222222222,12056855.599179385,0.24564825464246653,0.20892134559863715,5,0.004056223923795288,0.006209609021903484,-0.0026946418229308045
San Miguel,2006,0.25566849396385677,18876.242341729067,2743.737173409188,46.84,0.6957032294988649,0.7738678480082184,790.340062684366,0.004787961696306464,223154,17474792.58184524,0.2648539936462886,79489105.22652115,0.017833138863677024,15.84111111111111,12157269.634012539,0.25185786366437,0.20622670377570634,5,-0.0024096647410735694,-0.033121628962098804,-0.03500461676120897
San Miguel,2007,0.2532588292227832,20122.982821447164,2707.3188164780913,46.44,0.7957339716620386,0.8788804569022846,842.3088318162198,0.04615384615384621,228087,19548009.978292327,0.29612911467803626,83030243.60025726,0.0141403005395746,16.291111111111114,15555015.618115716,0.21873623470227122,0.17122208701449737,5,0.030790430951372627,-0.033835586918329885,-0.02341075823505656
San Miguel,2008,0.2840492601741558,19950.51438989452,2548.007425139965,47.62,0.7309561031678473,0.9667183995493972,627.8561575482855,-0.0006507027589797153,230987,21774593.395262424,0.33326426861438524,84586864.29323424,0.013239703523200806,16.09222222222222,15916271.936265366,0.18490064778394133,0.1478113287794408,5,-0.06640863852485102,0.06365825865668165,0.04194063448360011
San Miguel,2009,0.2176406216493048,17865.556625842848,2491.255263520022,48.37,0.8425564831329702,1.0059658684487536,644.8718866107057,-0.05365281937752309,225984,18966759.0,0.2815479470355966,83259980.99999999,-0.015565726043224865,15.799999999999999,15980565.75947061,0.24855890644062298,0.18975196326304092,5,,,
Sedgwick,1993,0.17750102747752516,2545.2371462734163,1390.3396919877368,20.9,0.0,0.16133745580117675,594.6608637969056,-0.04200076365024818,103457,3586402.8892733566,0.2577577561558486,10980994.83944637,0.09926960185326861,26.78,0.0,0.02075209217634418,0.023436591243406264,1,0.03853045225583762,0.005994207255382536,-0.014201741996947
Sedgwick,1994,0.21603147973336279,2613.550340651022,1480.2738654926493,21.1,0.06090297297080216,0.14839404170429138,686.5286963624051,0.0530091669988042,110529,3880164.605263159,0.26026571783620056,10998953.842105266,0.05788525490351666,24.96,236313.5600766054,0.026746299431726715,0.009234849246459264,1,0.00449079656295337,0.013401423648554903,0.002254253855060869
Sedgwick,1995,0.22052227629631616,2771.8631178707233,1556.7502919074286,21.5,0.08494160434526332,0.13341969328935654,688.9498405736356,-0.004542013626040897,116821,3963361.820866142,0.2508040008550358,10643188.236220472,0.053414588581394765,24.939999999999998,336654.3116651342,0.04014772308028162,0.011489103101520133,1,-0.05692815169769763,0.010667349944628403,0.01932759928528581
Sedgwick,1996,0.16359412459861852,2800.4501125281317,1536.316866023389,20.1,0.0,0.12235408356367687,639.2811288386149,0.01368821292775668,123144,3810664.273422562,0.2293234771448317,11723850.625239003,0.04433622476752427,24.300000000000004,0.0,0.05081507302491002,0.030816702386805943,1,0.01809677605680346,-0.0038060296736679364,0.008372012636767144
Sedgwick,1997,0.18169090065542198,2834.371564675705,1523.4074238963299,18.3,0.0,0.14296754991398933,554.4792519254938,0.02363090772693166,157345,3937982.1121495334,0.2252409417520257,11442515.196261683,0.03616206158298767,24.119999999999997,0.0,0.047009043351242084,0.03918871502357309,1,0.022493283394746766,-0.004116535704041482,0.006972833635855873
Sedgwick,1998,0.20418418405016875,3044.046285927585,1759.752052432347,21.0,0.0,0.14449034736016084,745.921653762392,-0.01832172957127154,166949,4156223.061349693,0.23304669283669316,12627803.707361965,0.05065402748025538,24.560000000000002,0.0,0.0428925076472006,0.04616154865942896,1,0.018817943423490635,-0.008904580839270544,0.0011079498934190857
Sedgwick,1999,0.22300212747365938,3214.653902798233,1788.1322223292852,20.4,0.0,0.16254130903772274,795.8501905917008,0.01381112355356473,179848,4573325.402160863,0.25330575919217274,13058401.555822331,0.02967938653980333,24.96,0.0,0.03398792680793006,0.047269498552848045,2,-0.0038226857218083277,0.03430736562315022,0.021646361379100094
Sedgwick,2000,0.21917944175185106,3255.915544230069,1617.9095915848648,16.05,0.0,0.16828558096347054,637.160589505942,0.011413843888070652,195300,4214687.081881533,0.23345700052438384,13684276.379790943,0.0009513402777058012,25.848,0.0,0.06829529243108028,0.06891585993194814,2,0.017925335625649824,-0.045952625437793465,-0.03508367474800597
Sedgwick,2001,0.23710477737750088,3221.528288023512,1599.2111778423794,17.48,0.0,0.17927456713430232,645.8802670670542,-0.009100837277029485,201831,4790074.47204969,0.2643001684086717,13531034.981366463,0.038390683890861116,25.601999999999997,0.0,0.02234266699328681,0.03383218518394217,2,0.06148565244659185,0.018806863004408356,-0.0004742511252753684
Sedgwick,2002,0.29859042982409273,3596.791833758658,1703.1005903753796,17.13,0.0,0.18306485266056527,801.2099270526808,0.007714915503306496,204515,5403358.732629239,0.29362239212129065,14686157.788215676,0.01625715818125886,26.122,0.0,0.04114952999769517,0.0333579340586668,2,-0.10012818548808464,0.0055876761327900565,0.015095804674656849
Sedgwick,2003,0.1984622443360081,3304.5372050816686,1455.8893415134535,15.91,0.0,0.1683270729940755,593.8885179120965,0.0043747721472839896,205386,4347599.078804348,0.23488197357316504,14781733.115217393,0.014956710444461807,26.802,0.0,0.04673720613048522,0.04845373873332365,2,0.0005638497879613125,-0.0026027912344650517,-0.003976176302028997
Sedgwick,2004,0.1990260941239694,3696.6877558615556,1498.0147901499347,18.5,0.0,0.1605481599483265,589.41887916705,-0.02468239564428309,209357,4357021.881948121,0.23508865552396824,14827752.06034939,0.01030465812964978,28.004,0.0,0.04413441489602017,0.04447756243129465,2,0.05151835851847217,0.062389150320963566,0.04125017130117689
Sedgwick,2005,0.2505444526424416,3197.600299962505,1500.584247245592,18.79,0.0,0.18111442771788536,593.1052656436377,-0.007443245254931119,217329,3574379.4546850994,0.19411615589249284,15754690.4546851,0.00744774932828003,28.574,0.0,0.10652356521698374,0.08572773373247154,2,-0.0039336507544515675,-0.036576615823625716,-0.02891418368983663
