LG_ID,NAME,AUDIT_YEAR,CM_FUND_TYPE_ID,DESCRIPTION,REV_TOTAL,REV_CHARGES,REV_IMPACT_FEE,REV_INTGOVT,REV_TRANSFER_IN,REV_INTEREST,REV_OTHER,EXP_TOTAL,EXP_OPERATING,EXP_CAPITAL_OUTLAY,EXP_PRINCIPAL,EXP_INTEREST,EXP_TRANSFER_OUT,GO_DEBT,REVENUE_DEBT,OTHER_DEBT,ASSETS,LIABILITIES,DEPRECIATION
36001,"Aguilar, Town of",1995,2,Water,63969,53560,0,0,0,0,10409,65311,47351,6749,6891,4320,0,0,0,82650,0,0,24350
36001,"Aguilar, Town of",1995,4,Gas,137757,127606,0,0,0,0,10151,107370,107370,0,0,0,0,0,0,0,0,0,1789
36001,"Aguilar, Town of",1995,3,Sewer,46098,43130,0,0,0,0,2968,35687,21342,0,5000,9345,0,0,184000,0,0,0,16327
36001,"Aguilar, Town of",1996,2,Water,62616,49755,0,0,0,0,12861,56370,43639,2848,5744,4139,0,0,0,76906,0,0,24492
36001,"Aguilar, Town of",1996,4,Gas,144291,133707,0,0,0,0,10584,142539,121557,982,0,0,20000,0,0,0,0,0,1888
36001,"Aguilar, Town of",1996,3,Sewer,46548,43135,0,0,0,0,3413,41428,27332,0,5000,9096,0,0,179000,0,0,0,16327
36001,"Aguilar, Town of",1997,2,Water,91736,77891,0,0,0,0,13845,81117,68750,0,7962,4405,0,0,0,76819,267153,17472,24492
36001,"Aguilar, Town of",1997,3,Sewer,49790,46268,0,0,0,0,3522,48764,34918,0,5000,8846,0,0,174000,0,90815,18325,16327
36001,"Aguilar, Town of",1997,4,Gas,158813,146618,0,0,0,0,12195,162260,147583,677,0,0,14000,0,0,0,300167,49059,1955
36001,"Aguilar, Town of",1998,2,Water,94461,81638,0,0,0,0,12823,58536,47779,0,7149,3608,0,0,0,69670,302066,13023,24492
36001,"Aguilar, Town of",1998,4,Gas,151370,139600,0,0,0,0,11770,135214,115214,0,0,0,20000,0,0,0,319262,51998,1955
36001,"Aguilar, Town of",1998,3,Sewer,45784,42595,0,0,0,0,3189,51977,37402,0,6000,8575,0,0,168000,0,84497,9500,16327
36001,"Aguilar, Town of",1999,2,Water,108494,91324,0,0,0,0,17170,62130,46626,0,7350,3374,4780,0,0,62320,348634,13551,24499
36001,"Aguilar, Town of",1999,3,Sewer,53319,50326,0,0,0,0,2993,43134,28779,0,6000,8275,80,0,162000,0,94557,9375,16327
36001,"Aguilar, Town of",1999,4,Gas,147317,134270,0,0,0,0,13047,131752,111010,0,0,0,20742,0,0,0,352533,69704,1995
36001,"Aguilar, Town of",2000,2,Water,105624,95383,0,0,0,0,10241,76471,65780,0,7674,3017,0,0,0,54646,378043,14145,16511
36001,"Aguilar, Town of",2000,3,Sewer,55852,51737,0,0,0,0,4115,45953,31978,0,6000,7975,0,0,156000,0,104331,9250,16327
36001,"Aguilar, Town of",2000,4,Gas,169887,147233,0,0,0,0,22654,171402,163402,0,0,0,8000,0,0,0,371391,90077,1955
36001,"Aguilar, Town of",2001,2,Water,107356,92216,0,0,0,0,15140,88631,75923,2191,7866,2651,0,0,0,46780,397023,14753,16893
36001,"Aguilar, Town of",2001,4,Gas,245484,228221,0,0,0,0,17263,182836,182836,0,0,0,0,0,0,0,402832,58870,1955
36001,"Aguilar, Town of",2001,3,Sewer,56961,53390,0,0,0,0,3571,50315,36640,0,6000,7675,0,0,150000,0,110852,10125,16327
