Series_ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
LAUCN08045006,16760,17241,17256,18245,19831,20734,21240,21726,22862,23680,24810,25622,26777,27035,28239,30069,33649,35206,36952,34799,33006,32971,33230,
LAUCN08047003,2.4,3.3,4.9,4,2.7,2.4,2.9,2.3,3.4,2.3,2.5,3.5,5.1,5.9,5.5,4.9,4,3.5,4.2,6.7,7.8,6.9,6.5,
LAUCN08047004,58,90,140,131,82,83,95,74,109,77,82,113,164,196,183,165,139,121,146,248,282,243,232,
LAUCN08047005,2340,2673,2691,3153,2986,3397,3193,3131,3116,3293,3234,3127,3079,3109,3131,3204,3310,3318,3341,3435,3321,3287,3349,
LAUCN08047006,2398,2763,2831,3284,3068,3480,3288,3205,3225,3370,3316,3240,3243,3305,3314,3369,3449,3439,3487,3683,3603,3530,3581,
LAUCN08049003,3.1,4,6,5.1,3.3,3,3.2,2.9,2.7,2.4,2.5,3,3.7,4.2,4.2,4.1,3.2,2.6,3.7,7.4,9.1,8.3,7.6,
LAUCN08049004,133,179,281,252,167,162,183,168,163,147,188,239,314,357,358,350,288,243,338,675,803,721,652,
LAUCN08049005,4198,4328,4422,4690,4954,5325,5526,5640,5965,6040,7457,7808,8113,8077,8140,8115,8596,8984,8858,8404,7984,7915,7964,
LAUCN08049006,4331,4507,4703,4942,5121,5487,5709,5808,6128,6187,7645,8047,8427,8434,8498,8465,8884,9227,9196,9079,8787,8636,8616,
LAUCN08051003,7.3,7.8,8,6.3,5.8,6.1,6.2,5,5.5,5,2.7,3.3,4.2,4.8,4.2,4,3.1,2.8,3.6,6.1,7.1,6.7,6.6,
LAUCN08051004,440,468,512,434,438,482,487,403,461,411,225,274,361,406,368,363,302,273,341,572,658,609,596,
LAUCN08051005,5584,5498,5927,6510,7152,7410,7374,7639,7944,7885,7977,8072,8183,7968,8356,8728,9333,9319,9214,8868,8565,8458,8387,
LAUCN08051006,6024,5966,6439,6944,7590,7892,7861,8042,8405,8296,8202,8346,8544,8374,8724,9091,9635,9592,9555,9440,9223,9067,8983,
LAUCN08053003,2.2,2.4,6.8,4.4,3,1.6,1.5,2.1,1.7,2.5,2,3.5,3.8,4.3,3.3,2.8,3,2.9,3.2,3.5,4.5,4,3.8,
LAUCN08053004,9,10,32,23,17,10,9,13,11,16,13,23,24,26,20,17,19,18,21,23,27,24,21,
LAUCN08053005,395,414,437,503,546,602,584,601,629,624,639,628,602,585,583,585,606,595,626,640,578,582,534,
LAUCN08053006,404,424,469,526,563,612,593,614,640,640,652,651,626,611,603,602,625,613,647,663,605,606,555,
LAUCN08055003,8,8.1,9.9,8.6,6.9,6.7,6.6,5.3,6.3,5.7,5.6,6.4,7.3,8.6,8.3,7.9,6,4.8,6.4,9.7,11.9,11.4,12.2,
LAUCN08055004,202,206,262,246,209,213,225,199,259,214,172,204,257,290,273,259,205,163,220,339,390,368,382,
