FNAME,AUDIT_YEAR,pcap,pcrev,w_db_b_g,w_db_b_g_ap,w_db_b_i,w_db_b_i_ap,w_db_c_g,w_db_c_g_ap,w_db_c_i,w_db_c_i_ap,w_kern_g,w_kern_g_ap,w_kern_i,w_kern_i_ap,w_queen_g,w_queen_g_ap,w_queen_i,w_queen_i_ap,w_rook_g,w_rook_g_ap,w_rook_i,w_rook_i_ap,gsp,st_unempr,permits,hu_num,vac_rate,labforce,CTY_POP,intensity_flow,intensity_stock,prop_ratio,pcintgov,pop_growth,permit_rate,lfp_rat,lpop_growth
La Plata,2005,11464.128782356986,1153.7593283047936,1.5099212713463668,-0.24308131285673265,-0.6995230652445713,0.113679904486287,2.0671208934494545,-0.2305617234897091,-0.9401024441843664,0.10263441951121484,2.6041992195283954,1.0123409041559834,-1.1007523877490617,-0.17612678698646522,2.3746966588513083,-0.42104582400204427,-0.9702574872558314,0.13697956855123902,2.3537658133138093,-0.39300866281014335,-0.9574862971272288,0.13248918171246454,217329,5.1,732.0,23858.0,19.97,30039.0,48019,0.0,0.0,0.19651534579322336,292.8096747674348,0.017933987662434037,0.03068153240003353,0.6255648805681084,0.008185509724299989
La Plata,2006,13030.316704955694,1341.0257633203328,1.5513410498593023,-0.2516600738713089,-0.4676947720961125,0.11205676072174214,2.0899451735642,-0.23978585348263196,-0.6297483260160546,0.09966596726129334,2.529162739956403,0.9876899225474952,-0.6950888073521108,-0.1628701750015627,2.1818956016582574,-0.4223585458407413,-0.5911593923162883,0.13822877879990247,2.07796252333854,-0.3984267485194642,-0.5592105170561398,0.13203196974067555,223154,4.3,873.0,24583.0,20.99,30694.0,48752,0.0,0.0,0.16997060136812142,349.389949783501,0.015264791020221269,0.035512345930114306,0.6295946832950443,0.017933987662434037
La Plata,2007,13845.130431287429,1326.796466969597,2.2349463389845328,-0.24292510196699302,-0.7479031750519042,0.10753524212827996,2.8945900527661923,-0.2256937505959991,-0.9618400620929908,0.10260568390857124,2.45685101500838,0.972247956755866,-0.7340755228334775,-0.15625030624746927,2.581729886566329,-0.4232296335163845,-0.7819894989171846,0.13779353834336708,2.600998793035976,-0.3954906257326154,-0.7854478971068669,0.13447580720027394,228087,3.8,690.0,25160.0,21.47,31239.0,49758,0.0,0.0,0.23475533383478434,269.12374081582357,0.02063505086970796,0.027424483306836247,0.6278186422283853,0.015264791020221269
La Plata,2008,14484.971200534706,1243.9332104722205,1.310164899182232,-0.2415408892205946,-0.5719520764651075,0.10669373766956897,1.7814417157979994,-0.22451620170705586,-0.7730257197742619,0.09716141439147397,2.282515397820501,0.9722365038116144,-0.8899329850154795,-0.15508018882381114,2.2676063065329246,-0.4235529530080097,-0.9067948398619736,0.1341366891919262,2.212611571071377,-0.3943207417776533,-0.884093827890817,0.12954195653974912,230987,4.8,692.0,25719.0,21.64,31596.0,50869,0.0,0.0,0.24726483354120837,277.8408010076099,0.022328067848386146,0.026906178311753955,0.6211248501051722,0.02063505086970796
La Plata,2009,13209.026970586496,1238.3454953801295,1.6480809254376374,-0.2463561488199039,-0.8729543473001317,0.10936105683281692,2.1784233504177783,-0.2324057386369625,-1.130649564411938,0.10085142621892074,2.5735622050069367,0.9664984944241224,-1.2164587786087158,-0.16141359814758002,2.4080995167095667,-0.42455525044328063,-1.1381389502682344,0.13723019622824728,2.3996937843741004,-0.3959030313078438,-1.1407529491245905,0.13426225624042332,225984,8.1,336.0,25813.0,20.63,31357.0,50759,0.14952421073453626,0.14952421073453626,0.22547906886781935,326.4258161114285,-0.0021624171892508093,0.013016697013132917,0.6177623672649185,0.022328067848386146
Lake,1993,3663.077403245943,1071.4473711493852,0.2789673599934616,-0.2654900650740964,-0.08269701900347785,0.1398138792289127,0.2466402429507676,-0.26976123144842,-0.06944764964052805,0.13063507899463214,1.150230496612516,-0.4879552059645262,-0.37957586157112255,0.20304733490267574,0.3840802661451434,-0.3656408869995958,-0.09670305863353408,0.14427524745704787,0.3775119146872343,-0.35960934391756283,-0.09462429790413504,0.1498286167401091,103457,5.3,9.0,3554.0,28.2,3025.0,6408,0.0,0.0,0.464307342406686,316.08748687842626,0.02005730659025784,0.0025323579065841305,0.4720661672908864,-0.0021624171892508093
Lake,1994,3179.5812318508333,1133.8285592477298,0.5164179993829462,-0.2686621023818851,-0.11658190899151835,0.14249274830363334,0.4656332490682617,-0.2714789111598362,-0.10330656386836437,0.13078535844308026,0.9080612768831052,-0.4780932704170423,-0.19619500432963446,0.20085390564598135,0.7130558683758581,-0.3700189477964361,-0.14966156760186647,0.15005232788393802,0.7024831406406036,-0.3630329126807032,-0.14415107468906474,0.1427207727695385,110529,4.3,22.0,3563.0,27.2,3087.0,6543,0.0,0.0,0.5061145337255781,335.9872342479308,0.02106741573033699,0.006174571989896155,0.4718019257221458,0.02005730659025784
Lake,1995,3437.5762505083367,1041.0294499076188,0.5106079312329841,-0.2688746215616901,-0.18500267488002828,0.14237380277492678,0.465922200539285,-0.27261880975849345,-0.16348303556119634,0.1318887188143551,0.9325617305305032,-0.4776212934752024,-0.3181786977999818,0.20077003362532372,0.7041809198513491,-0.3697380176772882,-0.2292165402027276,0.14928310712499734,0.6928986380331136,-0.36266404858714585,-0.2256868286311544,0.14952729578051802,116821,4.0,32.0,3772.0,26.6,3133.0,7377,0.0,0.0,0.5222452809129846,293.4881692299646,0.12746446584135707,0.008483563096500531,0.42469838687813477,0.02106741573033699
Lake,1996,2886.5139949109416,954.2513513250526,0.6449620615226388,-0.2673492699943594,-0.3390543447347848,0.13734984347574292,0.5879595275011587,-0.2699755863604263,-0.30286417939239785,0.1332875294509219,1.069371761399364,-0.4829598236133506,-0.5251087600442524,0.2056125328439352,0.8899519119979571,-0.3687819013355593,-0.4145651381882612,0.14927656131929226,0.8751171955146766,-0.3629151813247163,-0.40830488126246667,0.15212778746224775,123144,4.2,43.0,3804.0,17.8,3204.0,7860,0.0,0.0,0.5405241235075495,318.539893888751,0.0654737698251322,0.011303890641430074,0.4076335877862595,0.12746446584135707
Lake,1997,2940.7443092858,866.2301926676655,0.8553607713747036,-0.2656389444569873,-0.5803970372711974,0.13366672196164855,0.7967597760236736,-0.26869963572624034,-0.5252284643208661,0.13184859789465306,1.1541267176324062,-0.4896842690166767,-0.7299765345852121,0.20877211134659274,1.1802242766693296,-0.3655446303177353,-0.7212852016503019,0.14897696288156595,1.1644713505632784,-0.359686408387116,-0.7083185888538293,0.15287179148576638,157345,3.4,58.0,3847.0,14.5,3256.0,8303,0.17788618367233866,0.17788618367233866,0.6048354298216578,259.25267862871317,0.05636132315521625,0.015076683129711464,0.39214741659641095,0.0654737698251322
