LG_ID,NAME,LGTYPE_ID,AUDIT_YEAR,CM_FUND_TYPE_ID,DESCRIPTION,REV_TOTAL,REV_CHARGES,REV_IMPACT_FEE,REV_INTGOVT,REV_TRANSFER_IN,REV_INTEREST,REV_OTHER,EXP_TOTAL,EXP_OPERATING,EXP_CAPITAL_OUTLAY,EXP_PRINCIPAL,EXP_INTEREST,EXP_TRANSFER_OUT,GO_DEBT,REVENUE_DEBT,OTHER_DEBT,ASSETS,LIABILITIES,DEPRECIATION
02001,Alamosa County,1,1996,7,Airport,250281,70790,0,97329,75845,0,6317,243915,95579,129906,14680,3750,0,0,0,37607,0,0,0
02001,Alamosa County,1,1996,9,Internal Service,273675,273675,0,0,0,0,0,277296,277296,0,0,0,0,0,0,0,0,0,0
02001,Alamosa County,1,1997,7,Airport,219449,67590,0,63296,81489,0,7074,207016,111513,77073,15891,2539,0,0,0,21716,208083,27334,0
02001,Alamosa County,1,1997,9,Internal Service,322668,307668,0,0,15000,0,0,327176,327176,0,0,0,0,0,0,0,3900,110383,0
02001,Alamosa County,1,1998,7,Airport,210187,73955,0,42639,87971,0,5622,191942,126221,47291,17200,1230,0,0,0,4516,221357,17622,0
02001,Alamosa County,1,1998,9,Internal Service,399470,399470,0,0,0,0,0,396210,396210,0,0,0,0,0,0,0,3900,72273,0
02001,Alamosa County,1,1999,7,Airport,1380441,79509,0,1202191,91948,0,6793,1277409,125647,1147246,4516,0,0,0,0,0,447436,135247,0
02001,Alamosa County,1,1999,9,Internal Service,435026,414281,0,0,0,0,20745,434652,434652,0,0,0,0,0,0,0,49216,117215,0
02001,Alamosa County,1,2000,7,Airport,176566,73888,0,96090,0,0,6588,392369,134713,253704,0,3952,0,0,0,103490,190658,21225,0
02001,Alamosa County,1,2000,9,Internal Service,483046,460223,0,0,0,0,22823,473081,473081,0,0,0,0,0,0,0,9590,67624,0
02001,Alamosa County,1,2001,7,Airport,247957,90795,0,147776,0,0,9386,154692,133789,6881,7590,6432,0,0,0,95900,282360,5510,0
02001,Alamosa County,1,2001,9,Internal Service,536563,529756,0,0,0,0,6807,545840,545840,0,0,0,0,0,0,0,5002,72313,0
