,year,cty,stcou,results,births,deaths,edu_yrs,h_units,hh_size,med_age,migration,nat_pop_inc,perc_dem,permits,pop,pov_pop,vac_rate,fed_wage,loc_wage,r_wage_cnstr,r_wage_ed_hlth,r_wage_fin,r_wage_info,r_wage_lsr_hosp,r_wage_mfg,r_wage_nat_res,r_wage_other,r_wage_prof,r_wage_pub_ad,r_wage_total,r_wage_trd,r_wage_unclass,st_wage,gsp,name
287,2000.0,48.0,8093.0,44.0,149.0,65.0,40.0,10810.0,2.45,30.3,741.0,84.0,828.625,105.0,14696.0,35.9,44.57,0.05725899291184537,0.21154381187388788,11034322.203832753,12212882.61324042,3004874.695121952,1405655.1219512196,4314679.956445993,0.0,0.0,752324.4947735192,7716720.958188154,1748081.5766550526,50682289.19860628,8492747.578397213,0.0,0.0,172037.0,Park
288,2000.0,50.0,8097.0,64.0,176.0,43.0,38.4,11901.0,2.13,57.1,804.0,133.0,955.75,72.0,14790.0,53.0,39.1,0.007515234801328549,0.053309244906602604,85613875.78397213,25331872.020905927,82698036.02787456,17986584.843205575,172011762.77003485,7487764.006968642,2389911.167247386,19358753.30139373,103516623.7630662,41263560.56620209,779857887.9181185,222199143.66724735,0.0,0.0,172037.0,Pitkin
289,2000.0,61.0,8119.0,42.0,214.0,96.0,39.4,10660.0,2.55,31.7,766.0,118.0,1170.25,90.0,20648.0,27.9,23.01,0.01766200003322224,0.11003969708728953,11448363.25783972,5985776.959930314,10826826.463414634,7909013.606271777,59245135.42682927,0.0,0.0,3676923.62369338,10600489.102787456,17228968.850174215,149902205.16550523,22980707.87456446,0.0,0.0,172037.0,Teller
290,2000.0,63.0,8123.0,34.0,2998.0,1053.0,30.9,67366.0,2.78,21.6,3864.0,1945.0,23308.5,1007.0,183045.0,36.3,4.96,0.0124577118365546,0.101769629649284,203873665.01742157,374349113.26655054,156605503.31010452,47645893.46689896,65138564.03310105,616270895.4094076,150369772.81358886,41366246.52439024,202578243.2142857,134488104.37282228,2454163404.076655,461477402.64808357,0.0,0.007517495030173442,172037.0,Weld
291,2001.0,1.0,8001.0,70.0,7132.0,2223.0,31.5,133917.0,2.81,17.771428571428572,2793.0,4909.0,37632.0,5819.0,360348.0,50.3,5.37,0.026853468624833145,0.08292016740019381,976900885.4347826,646450490.4968945,227048231.83229816,161692220.77639753,171591318.26086956,887741699.1614908,61880979.03726708,141385872.76397517,510613724.2546584,300439311.1490684,6103741102.3602495,2017967070.7453413,29298.44720496895,0.006329768017593583,180980.0,Adams
292,2001.0,3.0,8005.0,63.0,7526.0,2909.0,34.62,202264.0,2.53,37.17142857142857,6332.0,4617.0,36085.5,6900.0,502810.0,44.5,2.94,0.009811786877788373,0.06049245271548065,1255906767.9503107,1775725613.757764,2026711358.8509321,2336391177.3913045,563705423.4782609,584109309.0372671,70576552.26708075,266332102.17391303,3302465300.68323,561537122.7950312,15528002716.490685,2783759434.9378877,782553.1677018635,0.007166859874263602,180980.0,Arapahoe
293,2001.0,4.0,8007.0,72.0,112.0,60.0,41.56,6667.0,2.44,29.87142857142857,370.0,52.0,1327.75,350.0,10492.0,31.75,36.22,0.033397090266453766,0.07116086144874241,13440114.596273292,5450776.8633540375,10411605.93167702,3304627.4534161487,9414283.881987575,1431247.9192546585,2541508.8819875782,2795395.248447205,3828273.9130434794,7343555.869565218,78180219.96894409,18218829.40993789,0.0,0.0,180980.0,Archuleta
294,2001.0,7.0,8013.0,58.0,3833.0,1444.0,33.64,116588.0,2.44,53.0,4866.0,2389.0,29238.25,2483.0,278981.0,54.15,3.55,0.02222018117532416,0.02970701818930215,386934662.98136646,602170396.7701863,474795361.21118015,1366946732.2360249,318663484.2857143,1993387422.4844728,28948538.47826087,148077509.7204969,2377206446.925466,333394623.6335404,9276270082.453415,1245361223.6645966,383680.06211180135,0.0013437760595138095,180980.0,Boulder
295,2001.0,7.0,8013.0,54.0,3833.0,1444.0,33.64,116588.0,2.44,53.0,4866.0,2389.0,29238.25,2483.0,278981.0,54.15,3.55,0.02222018117532416,0.02970701818930215,386934662.98136646,602170396.7701863,474795361.21118015,1366946732.2360249,318663484.2857143,1993387422.4844728,28948538.47826087,148077509.7204969,2377206446.925466,333394623.6335404,9276270082.453415,1245361223.6645966,383680.06211180135,0.0013437760595138095,180980.0,Boulder
296,2001.0,8.0,8014.0,87.0,0.0,0.0,3.64,15056.0,2.75,5.985714285714287,2843.0,0.0,669.75,446.0,41436.0,11.775,-0.1,0.008514026140869678,-0.11257978833200336,-10382938.560161918,-110096230.53507525,19017597.083117366,0.0,12224392.65677622,0.0,0.0,0.0,-101417079.08467042,19112217.578797802,733945308.1509068,140222991.20232373,0.0,0.00862418739347938,180980.0,Broomfield
297,2001.0,8.0,8014.0,77.0,0.0,0.0,3.64,15056.0,2.75,5.985714285714287,2843.0,0.0,669.75,446.0,41436.0,11.775,-0.1,0.052043851830795684,0.003004769645178193,-84580094.22442669,13510545.947195023,-95031000.29953891,0.0,3431617.6864333153,0.0,0.0,0.0,140862497.53458947,-26022606.1994548,-116185159.23394728,199314297.5519797,0.0,0.00883451216585551,180980.0,Broomfield
298,2001.0,11.0,8019.0,35.0,118.0,38.0,40.84,5245.0,2.29,39.01428571428571,23.0,80.0,513.0,56.0,9400.0,46.625,21.41,0.03782488328659909,0.0,6826836.149068323,3863623.4161490686,2945094.6894409936,3052206.6149068326,12319150.43478261,0.0,0.0,2690500.99378882,4328957.608695652,1304615.403726708,50877215.03105591,13546229.720496895,0.0,0.0,180980.0,Clear Creek
299,2001.0,12.0,8021.0,65.0,133.0,72.0,34.6,3886.0,2.78,14.814285714285715,-104.0,61.0,1829.75,0.0,8320.0,48.15,23.06,0.059866827382321575,0.3572414924435425,1124038.1366459627,16424083.322981367,1701425.8695652175,0.0,922546.2111801244,526756.7701863354,6127328.757763975,21120.55900621118,477207.39130434784,5179025.5900621135,37758209.72049689,5254677.1118012415,0.0,0.0,180980.0,Conejos
